index,CPSI,version,year,type
4,1.239039,top10v122,2012,chorus
5,1.205524,top10v122,2012,chorus
6,1.432214,top10v122,2012,chorus
7,2.000686,top10v122,2012,chorus
8,1.132007,top10v122,2012,chorus
9,1.239039,top10v122,2012,chorus
10,1.347249,top10v122,2012,chorus
0,2.224745,top10v131,2012,chorus
1,1.956943,top10v131,2012,chorus
2,2.0,top10v131,2012,chorus
3,1.06066,top10v131,2012,chorus
4,0.57735,top10v131,2012,chorus
5,1.866025,top10v131,2012,chorus
6,0.790569,top10v131,2012,chorus
7,1.678867,top10v131,2012,chorus
8,0.935414,top10v131,2012,chorus
9,1.761199,top10v131,2012,chorus
10,0.471405,top10v131,2012,chorus
0,0.909059,top10v132,2012,chorus
1,1.312335,top10v132,2012,chorus
2,1.269296,top10v132,2012,chorus
3,1.404358,top10v132,2012,chorus
4,0.740683,top10v132,2012,chorus
5,1.76973,top10v132,2012,chorus
6,1.190238,top10v132,2012,chorus
7,1.296362,top10v132,2012,chorus
8,0.719278,top10v132,2012,chorus
9,1.404358,top10v132,2012,chorus
10,0.719278,top10v132,2012,chorus
0,1.623819,top10v211,2012,chorus
1,1.429602,top10v211,2012,chorus
2,0.933733,top10v211,2012,chorus
3,0.904822,top10v211,2012,chorus
4,0.740503,top10v211,2012,chorus
5,0.643685,top10v211,2012,chorus
6,0.643257,top10v211,2012,chorus
7,1.72882,top10v211,2012,chorus
8,0.620697,top10v211,2012,chorus
9,1.102002,top10v211,2012,chorus
10,0.643257,top10v211,2012,chorus
0,1.642167,top10v212,2012,chorus
1,1.438773,top10v212,2012,chorus
2,1.09513,top10v212,2012,chorus
3,1.176972,top10v212,2012,chorus
4,1.304254,top10v212,2012,chorus
5,1.09513,top10v212,2012,chorus
6,1.45516,top10v212,2012,chorus
7,2.016304,top10v212,2012,chorus
8,1.402937,top10v212,2012,chorus
9,1.304254,top10v212,2012,chorus
10,1.493566,top10v212,2012,chorus
0,1.65082,top10v221,2012,chorus
1,1.611539,top10v221,2012,chorus
2,1.171763,top10v221,2012,chorus
3,0.643257,top10v221,2012,chorus
4,0.390799,top10v221,2012,chorus
5,0.914181,top10v221,2012,chorus
6,0.643257,top10v221,2012,chorus
7,1.72882,top10v221,2012,chorus
8,0.620697,top10v221,2012,chorus
9,1.102002,top10v221,2012,chorus
10,0.390799,top10v221,2012,chorus
0,1.71747,top10v222,2012,chorus
1,1.769013,top10v222,2012,chorus
2,1.132485,top10v222,2012,chorus
3,1.398141,top10v222,2012,chorus
4,1.25204,top10v222,2012,chorus
5,1.192675,top10v222,2012,chorus
6,1.431072,top10v222,2012,chorus
7,2.016304,top10v222,2012,chorus
8,1.132485,top10v222,2012,chorus
9,1.25204,top10v222,2012,chorus
10,1.388578,top10v222,2012,chorus
0,2.224745,top10v231,2012,chorus
1,1.956943,top10v231,2012,chorus
2,2.0,top10v231,2012,chorus
3,1.06066,top10v231,2012,chorus
4,0.57735,top10v231,2012,chorus
5,1.870829,top10v231,2012,chorus
6,0.883883,top10v231,2012,chorus
7,1.718425,top10v231,2012,chorus
8,0.935414,top10v231,2012,chorus
9,1.761199,top10v231,2012,chorus
10,0.471405,top10v231,2012,chorus
0,0.909059,top10v232,2012,chorus
1,1.312335,top10v232,2012,chorus
2,1.178511,top10v232,2012,chorus
3,1.404358,top10v232,2012,chorus
4,0.740683,top10v232,2012,chorus
5,1.781463,top10v232,2012,chorus
6,1.172604,top10v232,2012,chorus
7,1.389444,top10v232,2012,chorus
8,0.740683,top10v232,2012,chorus
9,1.404358,top10v232,2012,chorus
10,0.756339,top10v232,2012,chorus
0,1.778436,top20v111,2012,chorus
1,1.680953,top20v111,2012,chorus
2,1.598155,top20v111,2012,chorus
3,1.428208,top20v111,2012,chorus
4,1.486414,top20v111,2012,chorus
5,1.553691,top20v111,2012,chorus
6,1.421015,top20v111,2012,chorus
7,1.855589,top20v111,2012,chorus
8,1.467532,top20v111,2012,chorus
9,1.590646,top20v111,2012,chorus
10,1.346391,top20v111,2012,chorus
11,2.24885,top20v111,2012,chorus
12,1.480908,top20v111,2012,chorus
13,1.767405,top20v111,2012,chorus
14,1.549199,top20v111,2012,chorus
15,1.700789,top20v111,2012,chorus
16,1.517318,top20v111,2012,chorus
17,1.894972,top20v111,2012,chorus
18,1.570852,top20v111,2012,chorus
19,1.572057,top20v111,2012,chorus
0,2.161807,top20v112,2012,chorus
1,2.05303,top20v112,2012,chorus
2,1.706244,top20v112,2012,chorus
3,1.860336,top20v112,2012,chorus
4,1.784154,top20v112,2012,chorus
5,1.729587,top20v112,2012,chorus
6,1.903098,top20v112,2012,chorus
7,2.503034,top20v112,2012,chorus
